#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2500,4.999999999999671,-618126.2357343324,81843.71875,-536282.5169843324,289.74161624551533,332.215285909597,1.0674768997377553,0
5000,10.000000000000009,-613480.2589448546,84097.4765625,-529382.7823823546,297.720327882683,338.2010667888933,1.048583751717234,282
7500,15.000000000001679,-612050.5933750332,85093.8125,-526956.7808750332,301.2475379027524,337.9538004079467,1.0493509557229104,282
10000,19.999999999999794,-611644.9521105099,84597.8125,-527047.1396105099,299.4916078955058,338.8735699113891,1.0465028108890289,281
12500,24.999999999997023,-611077.601608139,85173.171875,-525904.429733139,301.5284844912985,340.02128932529075,1.0429704097410206,281
15000,29.99999999999425,-612941.388784043,83865.125,-529076.263784043,296.8977611874726,338.9520529294175,1.046260497268964,280
17500,34.99999999999681,-610690.3650189899,84500.703125,-526189.6618939899,299.14782308593436,339.4515311749192,1.0447210010242283,281
20000,40.00000000000292,-611295.6956472318,85417.4375,-525878.2581472318,302.3932291297589,339.5323497148489,1.0444723271467387,281
22500,45.00000000000903,-610668.3107810277,84550.84375,-526117.4670310277,299.3253299972642,339.2218821317747,1.0454282642960737,281
25000,50.00000000001514,-611610.9138369113,84245.5625,-527365.3513369113,298.24457897402885,340.0616236956243,1.0428467040599847,202
27500,55.00000000002125,-611825.8242827193,84122.8046875,-527703.0195952193,297.80999404138225,338.2781325363309,1.0483448657745598,208
30000,60.00000000002736,-611832.2572513362,84690.1328125,-527142.1244388362,299.8184385547743,338.80237583102195,1.0467227172726254,213
32500,65.00000000002991,-611266.1216562917,84386.796875,-526879.3247812917,298.74457429079735,339.1868601762973,1.0455362075757988,218
35000,70.00000000001826,-611884.929658493,84853.078125,-527031.851533493,300.39529453009465,338.4082631872439,1.0479417379121378,221
37500,75.00000000000661,-611096.9063195563,84134.6796875,-526962.2266320563,297.85203369629363,339.093705039388,1.045823435168387,223
40000,79.99999999999496,-611353.6706561157,84215.640625,-527138.0300311157,298.1386501067192,338.6038832757019,1.0473363152764434,226
42500,84.9999999999833,-611954.7997576133,84452.7109375,-527502.0888201133,298.97792203322336,337.9422982276192,1.0493866713583395,229
45000,89.99999999997165,-610749.1784986206,83957.3828125,-526791.7956861206,297.2243705853994,338.63243967909636,1.0472479948593651,231
47500,94.99999999996,-611295.8362917267,84243.6875,-527052.1487917267,298.23794113377966,340.13827934091296,1.0426116817414388,214
50000,99.99999999994834,-611712.7679580022,83945.5,-527767.2679580022,297.1823032728203,340.0167914307131,1.0429842066212593,178
52500,104.99999999993669,-611500.8260990251,83962.953125,-527537.8729740251,297.24409050247294,339.4147553187448,1.0448341973678577,181
55000,109.99999999992504,-611708.8406609884,85426.3125,-526282.5281609884,302.4246482402716,338.6126565989301,1.0473091791967857,184
57500,114.99999999991338,-611685.7517090244,83956.046875,-527729.7048340244,297.2196411242218,338.7148848447419,1.0469930886291658,187
60000,119.99999999990173,-612450.512478861,84241.65625,-528208.856228861,298.2307501401764,339.09704222526625,1.0458131428132074,163
62500,124.99999999989008,-611099.6365472912,84382.265625,-526717.3709222912,298.72853284352857,338.8368800428181,1.0466161281010922,149
65000,129.99999999989262,-610318.5369086028,84325.6171875,-525992.9197211028,298.5279870950006,339.51160826013637,1.0445361360856524,152
67500,134.9999999999165,-611702.5782120563,84493.34375,-527209.2344620563,299.1217695629564,339.5123611300995,1.0445338198227638,155
70000,139.99999999994037,-612798.6440867651,84006.34375,-528792.3003367651,297.3977011889058,339.42108905900756,1.044814700322338,157
72500,144.99999999996425,-611685.213573046,84972.734375,-526712.479198046,300.8188993686624,339.2045136748252,1.0454817938779932,158
75000,149.99999999998812,-610808.1549336012,84726.3984375,-526081.7564961012,299.94682544826026,339.542392613865,1.0444414340084007,160
77500,155.000000000012,-611543.6153118913,83769.078125,-527774.5371868913,296.557737820709,339.3061577475009,1.0451686046681554,155
80000,160.00000000003587,-610849.3452369492,84551.265625,-526298.0796119492,299.3268235113203,339.5193446996009,1.0445123348186218,157
82500,165.00000000005974,-610989.4501649505,84955.078125,-526034.3720399505,300.7563930396494,338.82054019282066,1.0466666018726303,160
85000,170.00000000008362,-612095.8489460214,85123.2890625,-526972.5598835214,301.3518902830029,337.2493480979136,1.0515428582690935,162
87500,175.0000000001075,-611920.1993618896,84285.5,-527634.6993618896,298.3859649713361,337.6808562965527,1.050199135768683,164
90000,180.00000000013137,-611898.6389840529,84446.828125,-527451.8108590529,298.95709580944157,338.1874978763201,1.048625823471341,166
92500,185.00000000015524,-611107.1221274096,83832.90625,-527274.2158774096,296.78370096585775,339.5015189876293,1.0445671775070633,168
95000,190.0000000001791,-611283.2818061025,84905.515625,-526377.7661811025,300.5809327957297,338.8213690571337,1.0466640413948292,169
97500,195.000000000203,-611952.0650613634,84695.484375,-527256.5806863634,299.8373840571521,338.09019647228627,1.0489276150228102,158
100000,200.00000000022686,-611446.2621129216,83993.828125,-527452.4339879216,297.3533936052426,338.64497528230646,1.0472092289355088,160
102500,205.00000000025074,-611873.2416259446,84419.453125,-527453.7885009446,298.86018334180375,338.6013601898891,1.0473441194961217,162
105000,210.0000000002746,-612088.286262969,84706.6328125,-527381.653450469,299.87685154896695,338.8490800904537,1.046578445346824,161
107500,215.00000000029848,-611104.0525822602,84405.9453125,-526698.1072697602,298.812363234342,338.90191194488375,1.0464152928884718,161
110000,220.00000000032236,-611306.9847570816,84230.0859375,-527076.8988195816,298.1897891343055,338.2607882548603,1.0483986195321977,163
112500,225.00000000034623,-613053.5734498338,84552.5,-528501.0734498338,299.3311934228176,337.8348607233161,1.0497203950148568,164
115000,230.0000000003701,-612443.1810071673,84054.65625,-528388.5247571673,297.56873620599265,338.19112384543104,1.0486145804653104,166
117500,235.00000000039398,-611507.4762406708,84634.140625,-526873.3356156708,299.6202160503335,338.78314288384973,1.0467821404261917,167
120000,240.00000000041786,-611247.2160921548,83509.8671875,-527737.3489046548,295.64008406392924,339.76150208714074,1.0437678820872234,169
122500,245.00000000044173,-611852.8475061064,83673.71875,-528179.1287561064,296.2201483287034,337.8290227907052,1.0497385349510762,164
125000,250.0000000004656,-612226.6458023591,84479.5546875,-527747.0911148591,299.0729537794573,338.8642658708366,1.046531544236187,166
127500,255.00000000048948,-611914.487321238,84457.53125,-527456.956071238,298.99498681419726,338.427888659915,1.0478809676487304,161
130000,260.00000000051335,-611994.1077965167,85115.0234375,-526879.0843590167,301.32262847057115,336.93391795326994,1.0525272896314737,163
132500,265.0000000005372,-610770.5525462269,84597.3203125,-526173.2322337269,299.48986546244043,337.8651554906764,1.0496262715616285,162
135000,270.0000000005611,-611555.6277687685,85475.578125,-526080.0496437685,302.5990574928185,336.98625854786616,1.0523638114397948,163
