#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,0.5000000000000003,-680199.1510595586,34788.34765625,-645410.8034033086,123.15706361317753,319.45104000000003,1.1101298760782514,0
1000,1.0000000000000007,-661305.2723974492,54442.984375,-606862.2880224492,192.7380442502417,319.45104000000003,1.1101298760782514,9.11
1500,1.4999999999999456,-648067.3014501836,65221.03125,-582846.2702001836,230.89428603919913,319.45104000000003,1.1101298760782514,12
2000,1.9999999999998905,-639971.0245947149,72153.6875,-567817.3370947149,255.43714720714394,319.45104000000003,1.1101298760782514,16.9
2500,2.4999999999998357,-633318.6085790899,75948.671875,-557369.9367040899,268.87208055612473,319.45104000000003,1.1101298760782514,21.2
3000,2.9999999999997806,-629054.1608251836,78672.28125,-550381.8795751836,278.51415198673084,319.45104000000003,1.1101298760782514,15.3
3500,3.4999999999997256,-625275.0856298711,80465.9921875,-544809.0934423711,284.86421420342975,319.45104000000003,1.1101298760782514,17.8
4000,3.9999999999996705,-622956.2853369024,81420.390625,-541535.8947119024,288.24295786325945,319.45104000000003,1.1101298760782514,20.2
4500,4.4999999999998375,-621233.8331884649,81881.375,-539352.4581884649,289.8749262038528,319.45104000000003,1.1101298760782514,22.4
5000,5.000000000000004,-620346.2042822149,82620.625,-537725.5792822149,292.4920053527581,319.45104000000003,1.1101298760782514,24.5
5500,5.500000000000171,-619785.1661962774,83195.5078125,-536589.6583837774,294.52719483082075,319.45104000000003,1.1101298760782514,26.4
6000,6.000000000000338,-618786.9054540899,83353.765625,-535433.1398290899,295.08745620551827,319.45104000000003,1.1101298760782514,28.3
6500,6.500000000000505,-619268.4118017461,83770.9609375,-535497.4508642461,296.5644033186258,319.45104000000003,1.1101298760782514,30
7000,7.000000000000672,-617903.1515478399,83715.171875,-534187.9796728399,296.3668999135454,319.45104000000003,1.1101298760782514,31.7
7500,7.500000000000839,-617525.6505712774,84350.53125,-533175.1193212774,298.61618739731136,319.45104000000003,1.1101298760782514,33.3
8000,8.000000000001005,-617800.8844579961,84223.703125,-533577.1813329961,298.1671928197906,319.45104000000003,1.1101298760782514,34.2
8500,8.500000000000728,-616799.5158056524,83942.65625,-532856.8595556524,297.1722358817757,319.45104000000003,1.1101298760782514,35.6
9000,9.000000000000451,-616471.1115087774,84888.515625,-531582.5958837774,300.52074971080395,319.45104000000003,1.1101298760782514,37
9500,9.500000000000174,-616908.8190283086,84714.0234375,-532194.7955908086,299.90301570261573,319.45104000000003,1.1101298760782514,38.3
10000,9.999999999999897,-616591.7033056524,84243.84375,-532347.8595556524,298.23849428713373,319.45104000000003,1.1101298760782514,32.6
10500,10.49999999999962,-616853.5949072149,84303.125,-532550.4699072149,298.44836066967827,319.45104000000003,1.1101298760782514,33.7
11000,10.999999999999343,-616337.9000829961,84426.78125,-531911.1188329961,298.8861262341109,319.45104000000003,1.1101298760782514,34.8
11500,11.499999999999066,-615932.3434423711,84270.421875,-531661.9215673711,298.3325856726657,319.45104000000003,1.1101298760782514,35.8
12000,11.999999999998789,-616288.5050634649,84716.46875,-531572.0363134649,299.91167255260734,319.45104000000003,1.1101298760782514,33.1
12500,12.499999999998511,-616399.4049658086,83480.2109375,-532919.1940283086,295.53509555732154,319.45104000000003,1.1101298760782514,34
13000,12.999999999998234,-616357.9733251836,84104.5,-532253.4733251836,297.74519212594976,319.45104000000003,1.1101298760782514,34.9
