#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
25000,50.00000000001514,-612684.2182223904,84498.2421875,-528185.9760348904,299.1391109206073,338.9827998127289,1.0461655979128888,0
50000,99.99999999994834,-612259.5700349757,84080.796875,-528178.7731599757,297.6612787621332,338.6847670937809,1.0470861931327187,312
75000,149.99999999998812,-612683.3753414969,85136.8125,-527546.5628414969,301.3997657058,337.6583030050081,1.0502692819699704,280
100000,200.00000000022686,-611830.2081397851,83971.546875,-527858.6612647851,297.2745139369483,339.1381109975696,1.0456864974718516,290
125000,250.0000000004656,-610788.6486572637,83772.15625,-527016.4924072637,296.5686349417847,339.05847330523994,1.0459321072003067,295
150000,300.00000000070435,-612819.4140152945,83651.9375,-529167.4765152945,296.1430387511422,338.84520133493226,1.0465904255133058,298
175000,350.0000000009431,-612858.6353974566,83876.9609375,-528981.6744599566,296.93966255404547,337.9593790343714,1.0493336343010664,301
200000,400.00000000118183,-611600.9701662017,84345.859375,-527255.1107912017,298.5996481120239,338.53071414868504,1.047562683758472,294
225000,450.0000000014206,-611737.6783525641,84010.1875,-527727.4908525641,297.4113087614166,337.91175844661126,1.0494815128023993,296
250000,500.0000000016593,-612339.0961809261,84237.375,-528101.7211809261,298.2155937382741,339.3489315132033,1.0450368647601609,298
275000,550.000000000818,-611567.875491004,85199.046875,-526368.828616004,301.620086686737,338.7245285269967,1.0469632801334137,299
300000,599.9999999996356,-612924.8134438954,84535.8046875,-528389.0087563954,299.2720889869323,337.760438014194,1.049951692191273,301
325000,649.9999999984533,-611489.895809718,84818.671875,-526671.223934718,300.27349016152243,338.00162622900376,1.0492024769371886,302
350000,699.999999997271,-612161.6314548422,83635.265625,-528526.3658298422,296.08401728826,338.343699507398,1.0481417090508416,303
375000,749.9999999960886,-611650.6418800079,84863.1953125,-526787.4465675079,300.4311112097725,339.0516349835994,1.045953202571705,302
400000,799.9999999949063,-611678.0794391762,84587.2578125,-527090.8216266762,299.4542423864366,338.19988335106217,1.0485874209487802,303
425000,849.9999999937239,-612523.5652752868,84425.234375,-528098.3309002868,298.88065001590536,337.13374909195977,1.0519034193504484,304
450000,899.9999999925416,-611363.1988435616,83933.6953125,-527429.5035310616,297.14051253691827,339.124230211451,1.045729298750337,304
475000,949.9999999913592,-613223.4865203165,84157.8671875,-529065.6193328165,297.9341216540417,337.8510949285061,1.049669954520389,305
500000,999.9999999901769,-612070.8272366682,83654.1640625,-528416.6631741682,296.1509211864381,340.15946206898803,1.0425467552519392,305
