#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2500,4.999999999999671,-1049577.1716227094,161910.125,-887667.0466227094,289.60688928565605,656.0906588636842,1.0461377934157585,0
5000,10.000000000000009,-1036732.350520364,166969.421875,-869762.928645364,298.65639888205334,662.9421390929706,1.0353260015774783,133
7500,15.000000000001679,-1036859.9597773766,167570.171875,-869289.7879023766,299.73095390903734,666.2442685932269,1.0301945795250078,133
10000,19.999999999999794,-1034622.4970784411,167678.53125,-866943.9658284411,299.9247751510301,667.2344249421536,1.028665800934732,133
12500,24.999999999997023,-1034222.1384406034,166585.6875,-867636.4509406034,297.97001735615606,668.8992431329528,1.0261055625203064,133
15000,29.99999999999425,-1036295.4613929186,166664.65625,-869630.8051429186,298.1112679051151,668.5097414913516,1.026703414393289,133
17500,34.99999999999681,-1033033.5413963404,166685.484375,-866348.0570213404,298.14852294701507,668.6268194315343,1.0265236365000872,133
20000,40.00000000000292,-1034393.9186340161,166956.15625,-867437.7623840161,298.6326708021036,669.0153616333923,1.0259274652058865,129
22500,45.00000000000903,-1035097.4952108376,165992.265625,-869105.2295858376,296.90857006709484,668.4434222980724,1.0268052781261172,129
25000,50.00000000001514,-1035586.4105253937,165852.3125,-869734.0980253937,296.65823742621114,669.0918472418577,1.025810188800949,126
27500,55.00000000002125,-1033161.4210865302,165928.609375,-867232.8117115302,296.7947088212581,669.5344765335539,1.0251320256096605,127
30000,60.00000000002736,-1033974.0399804749,168051.3125,-865922.7274804749,300.5915649407144,669.6062186441799,1.025022192198411,128
32500,65.00000000002991,-1033639.4070364488,166640.1875,-866999.2195364488,298.06750091665646,670.4387732823768,1.0237493138769629,128
35000,70.00000000001826,-1032963.4140224932,167325.28125,-865638.1327724932,299.2929206969608,670.1446130080185,1.0241986890912054,129
37500,75.00000000000661,-1032920.7378067961,167234.71875,-865686.0190567961,299.1309325327806,670.2636076216461,1.0240168589487058,129
40000,79.99999999999496,-1033199.3684439342,166174.46875,-867024.8996939342,297.2344748259811,669.7555090747404,1.0247937118017079,127
42500,84.9999999999833,-1034780.6599054998,166819.296875,-867961.3630304998,298.38787191838134,666.768772511327,1.0293841920029119,128
45000,89.99999999997165,-1032792.9251471963,167191.25,-865601.6751471963,299.0531804498356,671.1484680621538,1.0226667671999858,128
47500,94.99999999996,-1034022.1831133468,167331.640625,-866690.5424883468,299.3042956422371,668.4930649428399,1.0267290270289249,124
50000,99.99999999994834,-1033003.3893888667,166077.28125,-866926.1081388667,297.0606365959603,668.0468040984844,1.027414890593746,125
52500,104.99999999993669,-1035247.9065836435,167510.359375,-867737.5472086435,299.62396793724963,667.4732287040182,1.0282977722971767,125
55000,109.99999999992504,-1034052.454767325,167916.984375,-866135.470392325,300.3512936764879,669.4920773451846,1.0251969476114706,125
57500,114.99999999991338,-1033843.3219136856,167168.515625,-866674.8062886856,299.01251571917965,669.3180180332308,1.0254635549199704,126
60000,119.99999999990173,-1034639.8892776091,165773.53125,-868866.3580276091,296.517322256474,668.9556616615657,1.0260190226053962,126
62500,124.99999999989008,-1034550.1250649067,167595.8125,-866954.3125649067,299.77681701763294,669.058681054268,1.0258610396666752,126
65000,129.99999999989262,-1033932.2665799195,167567.3125,-866364.9540799195,299.7258393759033,669.6743179396542,1.0249179575170677,127
67500,134.9999999999165,-1034341.9770574505,167572.40625,-866769.5708074505,299.73495051143175,670.2630580059812,1.024017698642465,127
70000,139.99999999994037,-1035296.5895386506,165953.15625,-869343.4332886506,296.8386155510591,671.7577186981022,1.0217392596166157,127
72500,144.99999999996425,-1035125.2520226995,166202.3125,-868922.9395226995,297.284278640434,668.9546117757908,1.0260206328832202,127
75000,149.99999999998812,-1034858.7687499505,167147.59375,-867711.1749999505,298.97509298766875,669.8046281484031,1.0247185601594178,127
77500,155.000000000012,-1033693.3344648872,168202.90625,-865490.4282148872,300.8627190416247,668.9176455343912,1.0260773336245586,128
80000,160.00000000003587,-1033067.6132281041,167233.4375,-865834.1757281041,299.1286407747643,669.9769781317975,1.0244549537481646,128
82500,165.00000000005974,-1033394.2503132252,167021.875,-866372.3753132252,298.75022121938133,669.0324285010321,1.0259012940256704,128
85000,170.00000000008362,-1034089.201513689,166754.5625,-867334.639013689,298.2720822420186,671.2212142601157,1.0225559317294803,128
87500,175.0000000001075,-1033422.8319989014,167648.59375,-865774.2382489014,299.8712262685992,670.6678559300409,1.0233996278121043,126
90000,180.00000000013137,-1035245.7780867917,167423.734375,-867822.0437117917,299.46902273672947,668.2961458338798,1.0270315614164212,126
92500,185.00000000015524,-1035839.8200390432,167976.71875,-867863.1012890432,300.4581399069331,668.8318075682276,1.026209020530666,126
95000,190.0000000001791,-1034485.8118219841,166493.3125,-867992.4993219841,297.8047871928308,668.0313253751538,1.0274386964696578,127
