#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,0.5000000000000003,-1176674.3511844575,67437.5625,-1109236.7886844575,120.62483860494834,637.8173567999999,1.076109370224567,0
1000,1.0000000000000007,-1137077.119739145,105988.640625,-1031088.479114145,189.5807350591667,637.8173567999999,1.076109370224567,44.3
1500,1.4999999999999456,-1111719.4981571138,128097.9375,-983621.5606571138,229.12739523413615,637.8173567999999,1.076109370224567,44.4
2000,1.9999999999998905,-1092963.2437625825,140803.75,-952159.4937625825,251.85414462038858,637.8173567999999,1.076109370224567,44.4
2500,2.4999999999998357,-1079476.1129032075,148652.40625,-930823.7066532075,265.8929511597259,637.8173567999999,1.076109370224567,44.4
3000,2.9999999999997806,-1068799.00841102,153940.75,-914858.25841102,275.35215442394883,637.8173567999999,1.076109370224567,44.3
3500,3.4999999999997256,-1061921.69200477,157375.15625,-904546.53575477,281.4952397350479,637.8173567999999,1.076109370224567,44.3
4000,3.9999999999996705,-1057464.0972782075,160717.640625,-896746.4566532075,287.473905382608,637.8173567999999,1.076109370224567,39.4
4500,4.4999999999998375,-1052372.2203250825,160994.53125,-891377.6890750825,287.96917664855636,637.8173567999999,1.076109370224567,39.9
5000,5.000000000000004,-1049916.39122352,163103.21875,-886813.17247352,291.74096317117534,637.8173567999999,1.076109370224567,40.4
5500,5.500000000000171,-1047975.658801645,164408.125,-883567.533801645,294.075034866024,637.8173567999999,1.076109370224567,35.8
6000,6.000000000000338,-1046020.5762821138,164735.84375,-881284.7325321138,294.66122184937717,637.8173567999999,1.076109370224567,36.2
6500,6.500000000000505,-1044180.2554813325,164934.125,-879246.1304813325,295.0158853765418,637.8173567999999,1.076109370224567,36.7
7000,7.000000000000672,-1045011.9664188325,165570.46875,-879441.4976688325,296.1541065591508,637.8173567999999,1.076109370224567,37.2
7500,7.500000000000839,-1044788.3765750825,166043.484375,-878744.8922000825,297.00018449121194,637.8173567999999,1.076109370224567,37.7
8000,8.000000000001005,-1045192.342395395,166123.96875,-879068.373645395,297.1441460222147,637.8173567999999,1.076109370224567,38.1
8500,8.500000000000728,-1045128.66856727,166900.03125,-878228.63731727,298.53228062167994,637.8173567999999,1.076109370224567,35.3
9000,9.000000000000451,-1044901.2515750825,166300.8125,-878600.4390750825,297.46046452500826,637.8173567999999,1.076109370224567,35.7
9500,9.500000000000174,-1043333.5997196138,166570.4375,-876763.1622196138,297.94273984610777,637.8173567999999,1.076109370224567,36.1
10000,9.999999999999897,-1043158.6368289888,165710.6875,-877447.9493289888,296.40491432059883,637.8173567999999,1.076109370224567,35.6
10500,10.49999999999962,-1043230.022082895,166641.625,-876588.397082895,298.07007215735774,637.8173567999999,1.076109370224567,35.9
11000,10.999999999999343,-1042303.2911258638,167633.375,-874669.9161258638,299.8440046550879,637.8173567999999,1.076109370224567,36.3
11500,11.499999999999066,-1042556.7613407075,167672.359375,-874884.4019657075,299.9137355849757,637.8173567999999,1.076109370224567,36.6
12000,11.999999999998789,-1043157.1285282075,166993.71875,-876163.4097782075,298.6998584395586,637.8173567999999,1.076109370224567,34.8
12500,12.499999999998511,-1042355.4332157075,166387.5,-875967.9332157075,297.61552151860235,637.8173567999999,1.076109370224567,35.1
13000,12.999999999998234,-1043587.240832895,167517.15625,-876070.084582895,299.6361254340437,637.8173567999999,1.076109370224567,35.4
13500,13.499999999997957,-1043094.03575477,166758.953125,-876335.08262977,298.2799357054649,637.8173567999999,1.076109370224567,35
14000,13.99999999999768,-1043604.8961063325,167046.96875,-876557.9273563325,298.7951061385796,637.8173567999999,1.076109370224567,35.3
14500,14.499999999997403,-1042694.6285282075,167529.09375,-875165.5347782075,299.65747791117167,637.8173567999999,1.076109370224567,35.5
15000,14.999999999997126,-1042585.592395395,167236.53125,-875349.061145395,299.1341745319257,637.8173567999999,1.076109370224567,35.8
15500,15.499999999996849,-1042371.36778602,167544.75,-874826.61778602,299.68548207620074,637.8173567999999,1.076109370224567,36
16000,15.999999999996572,-1042453.3174930513,166829.875,-875623.4424930513,298.40679289615053,637.8173567999999,1.076109370224567,36.2
16500,16.499999999997183,-1042282.5289188325,167094.1875,-875188.3414188325,298.8795658059627,637.8173567999999,1.076109370224567,36.5
17000,16.999999999997794,-1042186.947864145,167367.140625,-874819.807239145,299.3677941082511,637.8173567999999,1.076109370224567,36.2
17500,17.499999999998405,-1041822.412707895,166712.265625,-875110.147082895,298.1964262792105,637.8173567999999,1.076109370224567,36.3
18000,17.999999999999016,-1042236.596301645,166666.25,-875570.346301645,298.1141186285013,637.8173567999999,1.076109370224567,36.5
18500,18.499999999999627,-1043040.82872352,167734.28125,-875306.54747352,300.02449457300986,637.8173567999999,1.076109370224567,36.7
19000,19.000000000000238,-1041998.2554813325,165698.828125,-876299.4273563325,296.38370158481337,637.8173567999999,1.076109370224567,36.8
19500,19.50000000000085,-1043227.1773563325,167401.09375,-875826.0836063325,299.42852569568447,637.8173567999999,1.076109370224567,37
20000,20.00000000000146,-1042495.1578250825,166813.90625,-875681.2515750825,298.37822976575154,637.8173567999999,1.076109370224567,37.2
20500,20.50000000000207,-1044142.1480594575,167598.5625,-876543.5855594575,299.78173591288754,637.8173567999999,1.076109370224567,37.1
21000,21.000000000002682,-1044835.57872352,167345.25,-877490.32872352,299.3286385840937,637.8173567999999,1.076109370224567,37.3
21500,21.500000000003293,-1042637.897082895,165607.21875,-877030.678332895,296.2198408866442,637.8173567999999,1.076109370224567,37.4
22000,22.000000000003904,-1042677.404895395,167043.6875,-875633.717395395,298.7892370021963,637.8173567999999,1.076109370224567,37.5
22500,22.500000000004515,-1042639.834582895,167212.3125,-875427.522082895,299.090854715763,637.8173567999999,1.076109370224567,37.7
23000,23.000000000005127,-1042342.2691532075,165988.125,-876354.1441532075,296.90116377594444,637.8173567999999,1.076109370224567,37.8
23500,23.500000000005738,-1042017.80919227,166475.96875,-875541.84044227,297.7737646148046,637.8173567999999,1.076109370224567,37.9
24000,24.00000000000635,-1042731.5855594575,166630.125,-876101.4605594575,298.04950223174757,637.8173567999999,1.076109370224567,38.1
24500,24.50000000000696,-1043750.385364145,167108.40625,-876641.979114145,298.9049987302905,637.8173567999999,1.076109370224567,38.2
25000,25.00000000000757,-1043119.4024539888,166479.0625,-876640.3399539888,297.77929837196604,637.8173567999999,1.076109370224567,38.3
