#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
25000,50.00000000001514,-1035066.4494514251,166660.6875,-868405.7619514251,298.1041690449181,668.9912795398878,1.025964396152375,0
50000,99.99999999994834,-1034617.4498987151,167659.890625,-866957.5592737151,299.891432866719,668.1995546630081,1.0271800233247643,151
75000,149.99999999998812,-1033777.3589478685,166231.3125,-867546.0464478685,297.3361506267554,670.2650426029647,1.0240146666143763,151
100000,200.00000000022686,-1032698.7476330632,166863.03125,-865835.7163830632,298.4660991218907,669.5363024221821,1.0251292299779655,151
125000,250.0000000004656,-1033590.5580377355,166355.5625,-867234.9955377355,297.55839525780453,669.1430086671087,1.0257317572689502,151
150000,300.00000000070435,-1034482.1783764772,167058.984375,-867423.1940014772,298.81659835705005,667.2073175862893,1.0287075936567187,150
175000,350.0000000009431,-1033857.033290444,167233.5,-866623.533290444,299.1287525678382,669.5426787185398,1.0251194673026602,149
200000,400.00000000118183,-1035144.8017857084,167832.96875,-867311.8330357084,300.20101583680594,669.1911363619549,1.0256579874559244,149
225000,450.0000000014206,-1033549.9652934382,166802.6875,-866747.2777934382,298.3581629089743,669.5032867741807,1.0251797828377969,149
250000,500.0000000016593,-1034980.3642407442,167308.40625,-867671.9579907442,299.2627365669893,668.9922287455653,1.0259629404535078,149
275000,550.000000000818,-1031408.0636534328,167397.859375,-864010.2042784328,299.42274040410655,671.4616491594406,1.0221897780812306,148
300000,599.9999999996356,-1032597.8633779855,167013.71875,-865584.1446279855,298.7356322232285,670.3710831064465,1.0238526861328836,148
325000,649.9999999984533,-1035555.1153406342,168049.578125,-867505.5372156342,300.58846268291177,668.777159009257,1.0262928763313899,148
350000,699.999999997271,-1036385.0682363082,166011.96875,-870373.0994863082,296.9438128336634,666.5237367678088,1.0297626270187097,147
375000,749.9999999960886,-1032733.6372740455,167587.0625,-865146.5747740455,299.7611659872773,669.1179403817633,1.0257701859746047,147
400000,799.9999999949063,-1033659.038397477,166767.5625,-866891.475897477,298.295335201404,669.0979680884884,1.0258008047837537,147
425000,849.9999999937239,-1033160.5864573102,166283.28125,-866877.3052073102,297.42910656776013,668.5493587861499,1.0266425733928397,147
450000,899.9999999925416,-1033983.0075058369,166963.328125,-867019.6793808369,298.64549905734145,669.6738355850574,1.0249186957479226,147
475000,949.9999999913592,-1035055.6914937552,165961.546875,-869094.1446187552,296.8536237712394,668.9731614642208,1.025992182768688,147
500000,999.9999999901769,-1034818.4398058262,166278.8125,-868539.6273058262,297.4211133629713,667.3449785222798,1.0284953902915015,147
