#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2500,4.999999999999671,-619425.5817516157,82424.640625,-537000.9411266157,291.7981851007138,330.9214862105666,1.0716504011547159,0
5000,10.000000000000009,-613753.9323946284,83981.0234375,-529772.9089571284,297.30806268787427,334.80060474568955,1.0592338795733145,255
7500,15.000000000001679,-613095.8755381564,85144.0546875,-527951.8208506564,301.4254043637625,336.292984264403,1.0545332791404496,267
10000,19.999999999999794,-610984.970911996,83233.75,-527751.220911996,294.6625791142361,337.3785647248885,1.051140115369953,214
12500,24.999999999997023,-611610.9067959632,84239.15625,-527371.7505459632,298.2218996865108,337.95669986018925,1.0493419529631396,228
15000,29.99999999999425,-612192.4608946186,84857.2265625,-527335.2343321186,300.409980751646,337.3925335386483,1.0510965957924656,204
17500,34.99999999999681,-611989.6345640454,84158.40625,-527831.2283140454,297.9360300331133,337.76536156717424,1.0499363872092606,208
20000,40.00000000000292,-612202.9497773265,83043.5703125,-529159.3794648265,293.9893085092965,338.32750588758887,1.0481918770331873,216
22500,45.00000000000903,-611752.3227741038,84446.40625,-527305.9165241038,298.9556022953855,338.3136731754292,1.0482347347054388,213
25000,50.00000000001514,-610674.4587816047,84504.921875,-526169.5369066047,299.162758226495,337.8504626026071,1.049671919098127,219
27500,55.00000000002125,-611606.4256643075,84287.609375,-527318.8162893075,298.39343254161645,338.1363251908519,1.0487845198178753,224
30000,60.00000000002736,-611275.6551262974,84354.140625,-526921.5145012974,298.62896523979106,338.8971367954021,1.0464300371542117,211
32500,65.00000000002991,-610983.0273324018,84381.625,-526601.4023324018,298.7262649147768,338.29600039195196,1.0482894951089856,215
35000,70.00000000001826,-611415.5213575102,83155.234375,-528260.2869825102,294.38461955380217,336.4069887602658,1.0541759098262689,218
37500,75.00000000000661,-611868.2282866919,84061.625,-527806.6032866919,297.59340684558543,337.1931197181905,1.0517182074908666,221
40000,79.99999999999496,-611897.0553464023,84751.5390625,-527145.5162839023,300.03582782293455,337.41630336479125,1.051022549627262,224
42500,84.9999999999833,-611538.7861050647,83806.7578125,-527732.0282925647,296.69113075204956,337.5469024781738,1.0506159021002999,227
45000,89.99999999997165,-612594.9184250501,83940.6484375,-528654.2699875501,297.16512786117556,337.871636308662,1.0496061383628397,230
47500,94.99999999996,-611785.5884146164,84470.390625,-527315.1977896164,299.04051133523944,336.6996459174729,1.053259626935251,232
50000,99.99999999994834,-611512.1028526793,84057.9921875,-527454.1106651793,297.58054603010265,337.9579692087816,1.0493380117016446,234
52500,104.99999999993669,-610704.1736533656,84523.25,-526180.9236533656,299.22764311493063,339.23576571431505,1.04538547903855,233
55000,109.99999999992504,-610794.6164260195,84410.0625,-526384.5539260195,298.8269388252225,339.49620938070797,1.044583514187598,234
57500,114.99999999991338,-611181.6472911574,83931.8828125,-527249.7644786574,297.13409595801073,338.04416695596797,1.049070441420932,236
60000,119.99999999990173,-611887.5666530095,83865.921875,-528021.6447780095,296.9005822695785,337.9390663569474,1.0493967071379937,238
62500,124.99999999989008,-612380.2855072487,84039.6328125,-528340.6526947487,297.5155505109962,336.1327697859592,1.0550359123690596,239
