#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,0.5000000000000003,-679853.5652216235,35401.33203125,-644452.2331903735,125.32713953663679,319.145832,1.1111915240311476,0
1000,1.0000000000000007,-660417.1277216235,54798.53125,-605618.5964716235,193.9967447074902,319.145832,1.1111915240311476,92
1500,1.4999999999999456,-647892.5886591235,65949.546875,-581943.0417841235,233.47336355267794,319.145832,1.1111915240311476,91.3
2000,1.9999999999998905,-638725.6335809985,71942.96875,-566782.6648309985,254.69116459380825,319.145832,1.1111915240311476,91.5
2500,2.4999999999998357,-633096.968541936,76350.3125,-556746.656041936,270.2939612528319,319.145832,1.1111915240311476,88.8
3000,2.9999999999997806,-627950.8030145923,78903.5234375,-549047.2795770923,279.3327912931272,319.145832,1.1111915240311476,89.4
3500,3.4999999999997256,-625485.382604436,80730.7265625,-544754.656041936,285.8014219312769,319.145832,1.1111915240311476,89.8
4000,3.9999999999996705,-622310.0491083423,81271.21875,-541038.8303583423,287.7148623561027,319.145832,1.1111915240311476,90
4500,4.4999999999998375,-619886.1179559985,82782.265625,-537103.8523309985,293.06424249757185,319.145832,1.1111915240311476,90.2
5000,5.000000000000004,-619158.337682561,82831.984375,-536326.353307561,293.2402558948456,319.145832,1.1111915240311476,87.8
5500,5.500000000000171,-618775.8308466235,83762.609375,-535013.2214716235,296.53483727184937,319.145832,1.1111915240311476,88.1
6000,6.000000000000338,-618301.4602411548,83960.03125,-534341.4289911548,297.23374653475133,319.145832,1.1111915240311476,88.5
6500,6.500000000000505,-618195.4846552173,83821.9140625,-534373.5705927173,296.744786627397,319.145832,1.1111915240311476,88.7
7000,7.000000000000672,-617905.3225458423,83609.3046875,-534296.0178583423,295.9921108584768,319.145832,1.1111915240311476,88.9
7500,7.500000000000839,-618164.1492059985,84478.40625,-533685.7429559985,299.06888810230464,319.145832,1.1111915240311476,89.1
8000,8.000000000001005,-617848.2834833423,84365.3125,-533482.9709833423,298.668515704609,319.145832,1.1111915240311476,32.5
8500,8.500000000000728,-616912.2903192798,84105.90625,-532806.3840692798,297.7501705061366,319.145832,1.1111915240311476,33.9
9000,9.000000000000451,-616976.650182561,84513.078125,-532463.572057561,299.19163283157883,319.145832,1.1111915240311476,35.2
9500,9.500000000000174,-617259.042760686,84325.265625,-532933.777135686,298.52674249995385,319.145832,1.1111915240311476,36.5
10000,9.999999999999897,-616968.835729436,83728.34375,-533240.491979436,296.4135307412958,319.145832,1.1111915240311476,37.7
10500,10.49999999999962,-616864.4167841235,84444.1640625,-532420.2527216235,298.9476645447542,319.145832,1.1111915240311476,38.8
11000,10.999999999999343,-616436.1335809985,84205.25,-532230.8835809985,298.1018654086717,319.145832,1.1111915240311476,39.9
11500,11.499999999999066,-616770.7161005298,85003.890625,-531766.8254755298,300.92919814746944,319.145832,1.1111915240311476,40
12000,11.999999999998789,-616696.5515497485,84800.4296875,-531896.1218622485,300.20890950743154,319.145832,1.1111915240311476,41
12500,12.499999999998511,-615997.8889520923,83919.796875,-532078.0920770923,297.0913095460713,319.145832,1.1111915240311476,42
13000,12.999999999998234,-615682.9241083423,84842.71875,-530840.2053583423,300.358620462718,319.145832,1.1111915240311476,42.9
13500,13.499999999997957,-617174.628698186,85760.6953125,-531413.933385686,303.6084240757076,319.145832,1.1111915240311476,43.8
14000,13.99999999999768,-615562.8406122485,84660.296875,-530902.5437372485,299.71281392180936,319.145832,1.1111915240311476,44.7
14500,14.499999999997403,-615511.7434442798,84410.640625,-531101.1028192798,298.8289854926326,319.145832,1.1111915240311476,45.5
15000,14.999999999997126,-615514.2898309985,84457.234375,-531057.0554559985,298.9939358228245,319.145832,1.1111915240311476,46.3
15500,15.499999999996849,-616025.8132684985,84413.3671875,-531612.4460809985,298.8386380186617,319.145832,1.1111915240311476,47.1
16000,15.999999999996572,-615725.6018427173,83783.6875,-531941.9143427173,296.60945765931706,319.145832,1.1111915240311476,47.2
16500,16.499999999997183,-616764.439245061,83545.640625,-533218.798620061,295.7667285243498,319.145832,1.1111915240311476,47.9
17000,16.999999999997794,-617794.6418817798,84471.8984375,-533322.7434442798,299.04584926510654,319.145832,1.1111915240311476,48.6
17500,17.499999999998405,-617878.724401311,85246.0625,-532632.661901311,301.7865305309849,319.145832,1.1111915240311476,49.3
18000,17.999999999999016,-616926.745885686,84484.5234375,-532442.222448186,299.09054405611755,319.145832,1.1111915240311476,50
18500,18.499999999999627,-617055.8049677173,84608.6171875,-532447.1877802173,299.5298584499417,319.145832,1.1111915240311476,50.6
19000,19.000000000000238,-616824.9973505298,84175.421875,-532649.5754755298,297.9962684333745,319.145832,1.1111915240311476,51.2
19500,19.50000000000085,-617422.872838811,84749.734375,-532673.138463811,300.0294389016947,319.145832,1.1111915240311476,51.8
20000,20.00000000000146,-617255.2092645923,84261.96875,-532993.2405145923,298.302660076209,319.145832,1.1111915240311476,52.4
20500,20.50000000000207,-616883.214635686,83923.796875,-532959.417760686,297.10547027193616,319.145832,1.1111915240311476,53
21000,21.000000000002682,-616642.8660028735,83734.8046875,-532908.0613153735,296.4364036324877,319.145832,1.1111915240311476,51
21500,21.500000000003293,-616090.0969599048,83874.859375,-532215.2375849048,296.9322226414329,319.145832,1.1111915240311476,51.5
22000,22.000000000003904,-616790.7200067798,84627.0390625,-532163.6809442798,299.59507523038974,319.145832,1.1111915240311476,52
22500,22.500000000004515,-616698.6394403735,84261.921875,-532436.7175653735,298.30249413020283,319.145832,1.1111915240311476,52.6
