#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
25000,50.00000000001514,-610775.6436369102,85134.09375,-525641.5498869102,301.39014083743876,339.73739864332066,1.0438419345777867,0
50000,99.99999999994834,-612188.0760360472,83962.5546875,-528225.5213485472,297.24267996142,337.5500487194674,1.0506061095046615,319
75000,149.99999999998812,-610573.4986487092,84446.296875,-526127.2017737092,298.9552150880377,337.49221968912207,1.0507861300474861,319
100000,200.00000000022686,-611092.2669486692,83666.5078125,-527425.7591361692,296.1946203014118,337.0134667266484,1.0522788507318332,314
125000,250.0000000004656,-609991.929739913,84530.6171875,-525461.312552413,299.25372429557626,337.8717956328413,1.0496056434187848,315
150000,300.00000000070435,-611617.081011869,84016.3125,-527600.768511869,297.4329923728972,337.13945957078494,1.0518856021770744,316
175000,350.0000000009431,-612155.865457416,83744.203125,-528411.662332416,296.4696758067367,337.409448622825,1.0510439019883406,316
200000,400.00000000118183,-611244.3860149174,84039.3984375,-527204.9875774174,297.5147207809651,338.3367138728103,1.0481633500217304,317
225000,450.0000000014206,-610351.6055422849,84089.078125,-526262.5274172849,297.69059588990035,338.93590590609864,1.0463103414794848,317
250000,500.0000000016593,-612380.1610030443,84299.15625,-528081.0047530443,298.43431057448424,337.56552652753504,1.05055793788037,317
275000,550.000000000818,-611685.2234554384,84272.9296875,-527412.2937679384,298.34146378399896,337.27639323492406,1.0514585383426334,316
300000,599.9999999996356,-611526.280618574,84353.90625,-527172.374368574,298.62813550975994,338.53661507163736,1.0475444240299538,316
325000,649.9999999984533,-612487.280433028,83698.8984375,-528788.381995528,296.30928899171613,337.6365749662851,1.0503368702981322,317
350000,699.999999997271,-612157.8758323225,84689.7109375,-527468.1648948225,299.8169450407182,336.4122315635679,1.0541594810629167,316
375000,749.9999999960886,-610099.8080580113,84280.015625,-525819.7924330113,298.3665492886073,338.9682604048443,1.0462104712244038,317
400000,799.9999999949063,-611704.5517794387,83840.609375,-527863.9424044387,296.8109714262148,337.6165502220076,1.0503991679764275,317
425000,849.9999999937239,-611155.5358415847,84852.9296875,-526302.6061540847,300.3947690344083,338.73216882032506,1.0469396652916583,317
450000,899.9999999925416,-611280.7682312857,84713.171875,-526567.5963562857,299.9000010168359,337.6555323879053,1.0502778999067612,317
475000,949.9999999913592,-612043.1742237331,84841.3671875,-527201.8070362331,300.3538356862051,337.7040812071452,1.0501269104614102,317
500000,999.9999999901769,-610912.5824983544,84271.1875,-526641.3949983544,298.33529612410075,338.6795582349721,1.0471022972169721,317
