#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2500,4.999999999999671,-189613.52026176732,22338.517578125,-167275.00268364232,291.9539383085495,87.06318472829687,1.1004373369124205,0
5000,10.000000000000009,-187862.30443017953,23144.541015625,-164717.76341455453,302.4882862626662,90.6524241934128,1.0568672597338322,244
7500,15.000000000001679,-187228.52353840694,22903.302734375,-164325.22080403194,299.3354151719411,92.28948294408555,1.0381202287542022,229
10000,19.999999999999794,-186754.5207706869,22890.44140625,-163864.0793644369,299.1673236508793,92.91809023060922,1.0310971621106355,235
12500,24.999999999997023,-187118.6265126625,22704.4609375,-164414.1655751625,296.7366462296881,92.2929497564757,1.0380812337054905,237
15000,29.99999999999425,-188145.61777305882,23333.3203125,-164812.29746055882,304.9555430535888,91.4753690217499,1.0473593074299725,239
17500,34.99999999999681,-187897.68045216985,22565.806640625,-165331.87381154485,294.92449965843576,91.8376347767388,1.0432278594547155,240
20000,40.00000000000292,-187853.53163034073,22726.04296875,-165127.48866159073,297.0187132468077,91.96857355065548,1.041742580608268,241
22500,45.00000000000903,-188227.7791122303,22755.517578125,-165472.2615341053,297.4039325549843,91.69284856697203,1.044875152673916,241
25000,50.00000000001514,-188006.11045452557,23049.9375,-164956.17295452557,301.2518627234605,90.65141383214468,1.0568790391170721,241
27500,55.00000000002125,-188660.75470186374,22855.359375,-165805.39532686374,298.70881797110536,91.9293979593962,1.0421865178301057,242
30000,60.00000000002736,-188454.06193596893,22717.111328125,-165736.95060784393,296.90198089664585,91.98598033317265,1.0415454485401656,242
32500,65.00000000002991,-187381.382079127,23109.3203125,-164272.061766627,302.02796820658307,92.12905428691259,1.0399279563551442,242
35000,70.00000000001826,-188040.96627981146,23163.72265625,-164877.24362356146,302.7389813011396,91.28634855845831,1.0495280034579049,242
37500,75.00000000000661,-187768.9396960244,22458.30859375,-165310.6311022744,293.5195506489112,91.86267137150351,1.0429435342465054,243
40000,79.99999999999496,-187831.24633378978,22907.296875,-164923.94945878978,299.3876167149284,92.54970338167459,1.03520136364361,224
42500,84.9999999999833,-187665.04916678788,23259.681640625,-164405.36752616288,303.99312018060596,91.95515089117734,1.0418946433887417,225
45000,89.99999999997165,-187925.4180322548,23163.6796875,-164761.7383447548,302.73841971974804,92.44745239562704,1.0363463423038908,211
