#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,0.5000000000000003,-203534.332522396,9582.826171875,-193951.506350521,125.24303957147268,84.64890599999997,1.1318230048421556,0
1000,1.0000000000000007,-198486.54907513037,14699.859375,-183786.68970013037,192.1202614320179,84.64890599999997,1.1318230048421556,127
1500,1.4999999999999456,-195513.95398235694,17835.669921875,-177678.28406048194,233.10383322669057,84.64890599999997,1.1318230048421556,127
2000,1.9999999999998905,-193298.58984661475,19264.25390625,-174034.33594036475,251.77475527799209,84.64890599999997,1.1318230048421556,126
2500,2.4999999999998357,-191948.50921917334,20732.40625,-171216.10296917334,270.9628172116308,84.64890599999997,1.1318230048421556,125
3000,2.9999999999997806,-191065.08093548194,21301.3046875,-169763.77624798194,278.3980527300499,84.64890599999997,1.1318230048421556,124
3500,3.4999999999997256,-190242.7456083335,21785.34375,-168457.4018583335,284.7242160530109,84.64890599999997,1.1318230048421556,124
4000,3.9999999999996705,-189940.62903118506,22248.47265625,-167692.15637493506,290.7770934497019,84.64890599999997,1.1318230048421556,124
4500,4.4999999999998375,-188993.83136272803,22125.517578125,-166868.31378460303,289.1701282977806,84.64890599999997,1.1318230048421556,110
5000,5.000000000000004,-189359.55188274756,22668.955078125,-166690.59680462256,296.27260131527925,84.64890599999997,1.1318230048421556,111
5500,5.500000000000171,-189005.0491972007,22559.62890625,-166445.4202909507,294.84375957018693,84.64890599999997,1.1318230048421556,112
6000,6.000000000000338,-188613.21008587256,22762.1484375,-165851.06164837256,297.4905947742713,84.64890599999997,1.1318230048421556,113
6500,6.500000000000505,-189132.55163860694,22543.60546875,-166588.94616985694,294.63434076399244,84.64890599999997,1.1318230048421556,113
7000,7.000000000000672,-188511.91394329444,22413.1796875,-166098.73425579444,292.929737029222,84.64890599999997,1.1318230048421556,114
7500,7.500000000000839,-188188.53137493506,22782.345703125,-165406.18567181006,297.7545635547269,84.64890599999997,1.1318230048421556,115
8000,8.000000000001005,-188420.17749309912,23293.64453125,-165126.53296184912,304.4369992177727,84.64890599999997,1.1318230048421556,115
8500,8.500000000000728,-188551.72925091162,22916.66015625,-165635.06909466162,299.50999040543263,84.64890599999997,1.1318230048421556,115
9000,9.000000000000451,-188535.279788021,22669.19921875,-165866.080569271,296.27579211864037,84.64890599999997,1.1318230048421556,116
9500,9.500000000000174,-188822.44555950537,22895.625,-165926.82055950537,299.23507078784183,84.64890599999997,1.1318230048421556,116
10000,9.999999999999897,-188971.0249052085,23060.673828125,-165910.3510770835,301.39218149206744,84.64890599999997,1.1318230048421556,116
10500,10.49999999999962,-188447.40161419287,22520.1875,-165927.21411419287,294.3282789055975,84.64890599999997,1.1318230048421556,116
11000,10.999999999999343,-188037.98999309912,22359.2265625,-165678.76343059912,292.2245950128499,84.64890599999997,1.1318230048421556,117
11500,11.499999999999066,-188250.1539335288,22845.080078125,-165405.0738554038,298.5744723863904,84.64890599999997,1.1318230048421556,117
12000,11.999999999998789,-188650.46850872412,22592.044921875,-166058.42358684912,295.2674216772579,84.64890599999997,1.1318230048421556,117
12500,12.499999999998511,-188904.4036893882,22850.23828125,-166054.1654081382,298.64188767980335,84.64890599999997,1.1318230048421556,117
13000,12.999999999998234,-188718.57312298194,22673.9453125,-166044.62781048194,296.33782133597975,84.64890599999997,1.1318230048421556,117
13500,13.499999999997957,-188821.25891399756,23187.59375,-165633.66516399756,303.05096529057266,84.64890599999997,1.1318230048421556,117
