#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
25000,50.00000000001514,-187794.26307748235,22782.64453125,-165011.61854623235,297.75846909804085,91.85738212303772,1.043003588075179,0
50000,99.99999999994834,-187476.4150743226,22702.65625,-164773.7588243226,296.71305981124294,92.16805733628226,1.0394878867410626,245
75000,149.99999999998812,-187842.3939180493,23132.27734375,-164710.1165742993,302.3280058282323,91.2746241062452,1.0496628179372123,245
100000,200.00000000022686,-188015.90727448324,22350.86328125,-165665.04399323324,292.11529085291266,92.14822848374516,1.0397115682199087,244
125000,250.0000000004656,-187568.41505680932,22928.5703125,-164639.84474430932,299.6656505565996,91.82164618639973,1.0434095131667525,244
150000,300.00000000070435,-187541.83221761044,22902.9609375,-164638.87128011044,299.3309480472356,92.66466655174183,1.033917055019287,243
175000,350.0000000009431,-187852.6461604822,22595.1171875,-165257.5289729822,295.30757474675374,91.86478938424374,1.0429194883883732,243
200000,400.00000000118183,-188109.1813006939,22789.15625,-165320.0250506939,297.8435742052876,91.42356202749477,1.0479528145786743,243
225000,450.0000000014206,-187795.09422607557,22848.734375,-164946.35985107557,298.6222323310991,91.45035175994282,1.0476458242283861,243
250000,500.0000000016593,-187501.36994900135,23092.52734375,-164408.84260525135,301.8084919881944,91.64719122655563,1.0453956947647294,243
275000,550.000000000818,-187683.23062178097,22754.333984375,-164928.89663740597,297.3884635402898,91.42044873438235,1.0479885022647983,243
300000,599.9999999996356,-187089.78601412033,22677.814453125,-164411.97156099533,296.3883891876462,92.12308953166473,1.0399952892655644,241
325000,649.9999999984533,-187777.13372288994,22854.28125,-164922.85247288994,298.6947273834628,91.936400657206,1.042107135592019,240
350000,699.999999997271,-187603.71152694104,22541.984375,-165061.72715194104,294.61315382967484,91.45690091533322,1.0475708031503888,240
375000,749.9999999960886,-187336.8273161659,22679.30078125,-164657.5265349159,296.40781479850847,91.90821626101587,1.0424267061546624,240
400000,799.9999999949063,-187604.10245999834,22841.873046875,-164762.22941312334,298.5325579934392,91.44215114118225,1.0477397780986024,240
425000,849.9999999937239,-187886.7155364114,22613.701171875,-165273.0143645364,295.5504586985993,90.56489672845541,1.0578886810061197,240
450000,899.9999999925416,-187480.88526670798,23036.70703125,-164444.17823545798,301.07894670771674,92.51026697017957,1.0356426619804746,240
475000,949.9999999913592,-188408.29787270958,22544.1640625,-165864.13381020958,294.6416413220826,91.63723054323543,1.0455093260409927,240
500000,999.9999999901769,-187972.13404478412,23162.69140625,-164809.44263853412,302.7255033477424,92.05927132906999,1.0407162446795029,240
